,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YFTicker,EPS
84,AMJLAND,Amj Land Holdings Limited,EQ,08-Feb-95,2,1,INE606A01024,2,AMJLAND.NS,1.08
85,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-Jan-15,1,1,INE098F01031,1,AMRUTANJAN.NS,20.134
86,ANANTRAJ,Anant Raj Limited,BE,27-Sep-06,2,1,INE242C01024,2,ANANTRAJ.NS,0.424
87,ANDHRACEMT,Andhra Cements Limited,EQ,08-Nov-10,10,1,INE666E01012,10,ANDHRACEMT.NS,-7.335
88,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-May-04,10,1,INE435A01028,10,ANDHRAPAP.NS,-1.16
89,ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-Nov-95,10,1,INE715B01013,10,ANDHRSUGAR.NS,56.161
90,ANDREWYU,Andrew Yule & Company Limited,EQ,05-Aug-21,2,1,INE449C01025,2,ANDREWYU.NS,
91,ANGELBRKG,Angel Broking Limited,EQ,05-Oct-20,10,1,INE732I01013,10,ANGELBRKG.NS,38.325
92,ANIKINDS,Anik Industries Limited,EQ,21-May-08,10,1,INE087B01017,10,ANIKINDS.NS,-12.285
93,ANKITMETAL,Ankit Metal & Power Limited,EQ,14-Mar-13,10,1,INE106I01010,10,ANKITMETAL.NS,-6.989
94,ANMOL,Anmol India Limited,EQ,04-Jun-21,10,1,INE02AR01019,10,ANMOL.NS,
95,ANSALAPI,Ansal Properties & Infrastructure Limited,EQ,27-Jan-06,5,1,INE436A01026,5,ANSALAPI.NS,-14.796
96,ANSALHSG,Ansal Housing Limited,EQ,06-Oct-06,10,1,INE880B01015,10,ANSALHSG.NS,-8.889
97,ANTGRAPHIC,Antarctica Limited,BE,31-Dec-97,1,1,INE414B01021,1,ANTGRAPHIC.NS,0.013
98,ANUP,The Anup Engineering Limited,EQ,01-Mar-19,10,1,INE294Z01018,10,ANUP.NS,52.11
99,ANURAS,Anupam Rasayan India Limited,EQ,24-Mar-21,10,1,INE930P01018,10,ANURAS.NS,7.391
100,APARINDS,Apar Industries Limited,EQ,12-Jul-04,10,1,INE372A01015,10,APARINDS.NS,41.94
101,APCL,Anjani Portland Cement Limited,EQ,10-Apr-17,10,1,INE071F01012,10,APCL.NS,33.61
102,APCOTEXIND,Apcotex Industries Limited,EQ,06-Sep-95,2,1,INE116A01032,2,APCOTEXIND.NS,8.517
103,APEX,Apex Frozen Foods Limited,EQ,04-Sep-17,10,1,INE346W01013,10,APEX.NS,14.424
104,APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-11,2,1,INE702C01027,2,APLAPOLLO.NS,28.81
105,APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-11,2,1,INE901L01018,2,APLLTD.NS,60.808
106,APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-18,10,1,INE713T01010,10,APOLLO.NS,4.117
107,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-96,5,1,INE437A01024,5,APOLLOHOSP.NS,14.534
108,APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-19,10,1,INE126J01016,10,APOLLOPIPE.NS,33.927
109,APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-95,1,1,INE438A01022,1,APOLLOTYRE.NS,5.68
110,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-Jan-15,5,1,INE451F01024,5,APOLSINHOT.NS,34.418
111,APTECHT,Aptech Limited,EQ,27-Sep-02,10,1,INE266F01018,10,APTECHT.NS,2.989
112,APTUS,Aptus Value Housing Finance India Limited,EQ,24-Aug-21,2,1,INE852O01025,2,APTUS.NS,
113,ARCHIDPLY,Archidply Industries Limited,EQ,04-Jul-08,10,1,INE877I01016,10,ARCHIDPLY.NS,1.03
114,ARCHIES,Archies Limited,EQ,02-Sep-98,2,1,INE731A01020,2,ARCHIES.NS,0.395
115,ARENTERP,Rajdarshan Industries Limited,EQ,18-Oct-95,10,1,INE610C01014,10,ARENTERP.NS,-18.718
116,ARIES,Aries Agro Limited,EQ,11-Jan-08,10,1,INE298I01015,10,ARIES.NS,9.324
117,ARIHANT,Arihant Foundations & Housing Limited,EQ,26-Dec-06,10,1,INE413D01011,10,ARIHANT.NS,-13.684
118,ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-Jun-21,5,1,INE420B01028,5,ARIHANTCAP.NS,16.65
119,ARIHANTSUP,Arihant Superstructures Limited,EQ,28-Mar-17,10,1,INE643K01018,10,ARIHANTSUP.NS,0.848
120,ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-16,10,1,INE109C01017,10,ARMANFIN.NS,16.003
121,AROGRANITE,Aro Granite Industries Limited,EQ,24-Apr-07,10,1,INE210C01013,10,AROGRANITE.NS,2.282
122,ARROWGREEN,Arrow Greentech Limited,EQ,21-May-15,10,1,INE570D01018,10,ARROWGREEN.NS,-0.726
123,ARSHIYA,Arshiya Limited,EQ,14-Dec-09,2,1,INE968D01022,2,ARSHIYA.NS,-18.447
124,ARSSINFRA,ARSS Infrastructure Projects Limited,EQ,03-Mar-10,10,1,INE267I01010,10,ARSSINFRA.NS,-15.416
125,ARTEMISMED,Artemis Medicare Services Limited,EQ,23-Jan-20,1,1,INE025R01021,1,ARTEMISMED.NS,4.9
126,ARTNIRMAN,Art Nirman Limited,EQ,18-Oct-21,10,1,INE738V01013,10,ARTNIRMAN.NS,
127,ARVEE,Arvee Laboratories (India) Limited,EQ,22-Mar-21,10,1,INE006Z01016,10,ARVEE.NS,2.43
128,ARVIND,Arvind Limited,EQ,08-Feb-95,10,1,INE034A01011,10,ARVIND.NS,-0.64
129,ARVINDFASN,Arvind Fashions Limited,EQ,08-Mar-19,4,1,INE955V01021,4,ARVINDFASN.NS,-62.91
130,ARVSMART,Arvind SmartSpaces Limited,BE,26-Aug-15,10,1,INE034S01021,10,ARVSMART.NS,2.46
131,ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-98,1,1,INE439A01020,1,ASAHIINDIA.NS,5.47
132,ASAHISONG,Asahi Songwon Colors Limited,EQ,29-Aug-11,10,1,INE228I01012,10,ASAHISONG.NS,26.29
133,ASAL,Automotive Stampings and Assemblies Limited,EQ,12-Mar-02,10,1,INE900C01027,10,ASAL.NS,-18.72
134,ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-20,10,1,INE073G01016,10,ASALCBR.NS,32.06
135,ASHAPURMIN,Ashapura Minechem Limited,EQ,20-Sep-95,2,1,INE348A01023,2,ASHAPURMIN.NS,47.436
136,ASHIANA,Ashiana Housing Limited,EQ,29-Jun-11,2,1,INE365D01021,2,ASHIANA.NS,-0.094
137,ASHIMASYN,Ashima Limited,EQ,27-Jul-95,10,1,INE440A01010,10,ASHIMASYN.NS,-0.6
138,ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-10,5,1,INE442H01029,5,ASHOKA.NS,9.84
139,ASHOKLEY,Ashok Leyland Limited,EQ,25-May-95,1,1,INE208A01029,1,ASHOKLEY.NS,-1.694
